"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3565","should load every image on isotope-producers-radiopharmacies after scroll @regression @content @critical","chromium","2026-04-22","passed","2026-04-22","Image content integrity > audited pages","regression/content/image-integrity.spec.ts","",""
"","194","should load drug owners developers page with correct title and heading @smoke @regression @critical","chromium","2026-04-22","skipped","2026-04-22","","regression/pages/drug-owners-developers.page.spec.ts","",""
"","10174","should navigate through header links from solutions @regression @navigation @critical","chromium","2026-04-22","passed","2026-04-22","Header navigation","regression/navigation/header-navigation.spec.ts","",""
"","4443","should satisfy baseline accessibility checks on solutions @regression @content","chromium","2026-04-22","passed","2026-04-22","Accessibility basics > semantic contracts","regression/content/accessibility-basics.spec.ts","",""
"","165","should render about-us page without horizontal overflow @regression","chromium","2026-04-22","skipped","2026-04-22","Mobile rendering checks > mobile layout contracts","regression/pages/mobile-rendering.spec.ts","",""
"","3401","should expose canonical and social metadata on hospitals-clinical-sites @regression","chromium","2026-04-22","failed","2026-04-22","SEO metadata > audited pages","regression/seo-meta/metadata.spec.ts","",""
"","3475","should load every image on about-us after scroll @regression @content @critical","chromium","2026-04-22","passed","2026-04-22","Image content integrity > audited pages","regression/content/image-integrity.spec.ts","",""
"","3312","should expose canonical and social metadata on isotope-producers-radiopharmacies @regression","chromium","2026-04-22","failed","2026-04-22","SEO metadata > audited pages","regression/seo-meta/metadata.spec.ts","",""
"","7679","should navigate through footer links from drug-owners-developers @regression @navigation","chromium","2026-04-22","passed","2026-04-22","Footer navigation","regression/navigation/footer-navigation.spec.ts","",""
"","3318","should expose canonical and social metadata on contact-us @regression","chromium","2026-04-22","failed","2026-04-22","SEO metadata > audited pages","regression/seo-meta/metadata.spec.ts","",""
"","4039","should load about us page with correct title and heading @smoke @regression @critical","chromium","2026-04-22","passed","2026-04-22","","regression/pages/about-us.page.spec.ts","",""
"","3894","should load home page with correct title and heading @smoke @regression @critical","chromium","2026-04-22","passed","2026-04-22","","regression/pages/home.page.spec.ts","",""
"","1084","staging root is reachable","chromium","2026-04-22","passed","2026-04-22","Smoke checks @allure.label.epic:Platform @allure.label.feature:Smoke","smoke/home.smoke.spec.ts","",""
"","4029","should satisfy baseline accessibility checks on drug-owners-developers @regression @content","chromium","2026-04-22","passed","2026-04-22","Accessibility basics > semantic contracts","regression/content/accessibility-basics.spec.ts","",""
"","4017","should load isotope producers radiopharmacies page with correct title and heading @smoke @regression @critical","chromium","2026-04-22","passed","2026-04-22","","regression/pages/isotope-producers-radiopharmacies.page.spec.ts","",""
"","3359","should submit contact form through mocked endpoint @regression @forms @critical","chromium","2026-04-22","passed","2026-04-22","Contact form","regression/forms/contact-form.spec.ts","",""
"","3728","should load every image on solutions after scroll @regression @content @critical","chromium","2026-04-22","passed","2026-04-22","Image content integrity > audited pages","regression/content/image-integrity.spec.ts","",""
"","190","should render home page without horizontal overflow @regression","chromium","2026-04-22","skipped","2026-04-22","Mobile rendering checks > mobile layout contracts","regression/pages/mobile-rendering.spec.ts","",""
"","3331","should load every image on home after scroll @regression @content @critical","chromium","2026-04-22","passed","2026-04-22","Image content integrity > audited pages","regression/content/image-integrity.spec.ts","",""
"","12646","should resolve known anchor links without broken targets @regression","chromium","2026-04-22","passed","2026-04-22","Internal link integrity","regression/links/internal-link-integrity.spec.ts","",""
"","198","should render solutions page without horizontal overflow @regression","chromium","2026-04-22","skipped","2026-04-22","Mobile rendering checks > mobile layout contracts","regression/pages/mobile-rendering.spec.ts","",""
"","3512","should expose canonical and social metadata on about-us @regression","chromium","2026-04-22","failed","2026-04-22","SEO metadata > audited pages","regression/seo-meta/metadata.spec.ts","",""
"","8070","should navigate through footer links from solutions @regression @navigation","chromium","2026-04-22","passed","2026-04-22","Footer navigation","regression/navigation/footer-navigation.spec.ts","",""
"","9089","should navigate through header links from home @regression @navigation @critical","chromium","2026-04-22","passed","2026-04-22","Header navigation","regression/navigation/header-navigation.spec.ts","",""
"","3976","should load hospitals clinical sites page with correct title and heading @smoke @regression @critical","chromium","2026-04-22","passed","2026-04-22","","regression/pages/hospitals-clinical-sites.page.spec.ts","",""
"","4051","should satisfy baseline accessibility checks on contact-us @regression @content","chromium","2026-04-22","passed","2026-04-22","Accessibility basics > semantic contracts","regression/content/accessibility-basics.spec.ts","",""
"","4102","should satisfy baseline accessibility checks on about-us @regression @content","chromium","2026-04-22","passed","2026-04-22","Accessibility basics > semantic contracts","regression/content/accessibility-basics.spec.ts","",""
"","181","should render contact-us page without horizontal overflow @regression","chromium","2026-04-22","skipped","2026-04-22","Mobile rendering checks > mobile layout contracts","regression/pages/mobile-rendering.spec.ts","",""
"","10487","should navigate through header links from isotope-producers-radiopharmacies @regression @navigation @critical","chromium","2026-04-22","passed","2026-04-22","Header navigation","regression/navigation/header-navigation.spec.ts","",""
"","7697","should navigate through footer links from contact-us @regression @navigation","chromium","2026-04-22","passed","2026-04-22","Footer navigation","regression/navigation/footer-navigation.spec.ts","",""
"","6735","should navigate through footer links from home @regression @navigation","chromium","2026-04-22","passed","2026-04-22","Footer navigation","regression/navigation/footer-navigation.spec.ts","",""
"","3057","should expose external links with secure new-tab attributes @regression @navigation","chromium","2026-04-22","passed","2026-04-22","External link integrity","regression/links/external-link-integrity.spec.ts","",""
"","196","should expose canonical and social metadata on drug-owners-developers @regression","chromium","2026-04-22","skipped","2026-04-22","SEO metadata > audited pages","regression/seo-meta/metadata.spec.ts","",""
